Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,4/12/2016,13162,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985
1503960366,4/13/2016,10735,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,0,21,19,217,776,1797
1503960366,4/14/2016,10460,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1776
1503960366,4/15/2016,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745
1503960366,4/16/2016,12669,8.159999847,8.159999847,0,2.710000038,0.409999996,5.039999962,0,36,10,221,773,1863
1503960366,4/17/2016,9705,6.480000019,6.480000019,0,3.190000057,0.779999971,2.50999999,0,38,20,164,539,1728
1503960366,4/18/2016,13019,8.590000153,8.590000153,0,3.25,0.639999986,4.710000038,0,42,16,233,1149,1921
1503960366,4/19/2016,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035
1503960366,4/20/2016,10544,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28,12,205,818,1786
1503960366,4/21/2016,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775
1503960366,4/22/2016,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827
1503960366,4/23/2016,14371,9.039999962,9.039999962,0,2.809999943,0.870000005,5.360000134,0,41,21,262,732,1949
1503960366,4/24/2016,10039,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,0,39,5,238,709,1788
1503960366,4/25/2016,15355.00,9.80,9.80,0.00,5.29,0.57,3.94,0.00,73.00,14.00,216.00,814.00,2013.00
1503960366,4/26/2016,13755,8.789999962,8.789999962,0,2.329999924,0.920000017,5.539999962,0,31,23,279,833,1970
1503960366,4/27/2016,18134,12.21000004,12.21000004,0,6.400000095,0.409999996,5.409999847,0,78,11,243,1108,2159
1503960366,4/28/2016,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898
1503960366,4/29/2016,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,1837
1503960366,4/30/2016,14673,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,52,34,217,712,1947
1503960366,5/1/2016,10602.00,6.81,6.81,0.00,2.29,1.60,2.92,0.00,33.00,35.00,246.00,730.00,1820.00
1503960366,5/2/2016,14727.00,9.71,9.71,0.00,3.21,0.57,5.92,0.00,41.00,15.00,277.00,798.00,2004.00
1503960366,5/3/2016,15103.00,9.66,9.66,0.00,3.73,1.05,4.88,0.00,50.00,24.00,254.00,816.00,1990.00
1503960366,5/4/2016,11100.00,7.15,7.15,0.00,2.46,0.87,3.82,0.00,36.00,22.00,203.00,1179.00,1819.00
1503960366,5/5/2016,14070.00,8.90,8.90,0.00,2.92,1.08,4.88,0.00,45.00,24.00,250.00,857.00,1959.00
1503960366,5/6/2016,12159.00,8.03,8.03,0.00,1.97,0.25,5.81,0.00,24.00,6.00,289.00,754.00,1896.00
1503960366,5/7/2016,11992.00,7.71,7.71,0.00,2.46,2.12,3.13,0.00,37.00,46.00,175.00,833.00,1821.00
1503960366,5/8/2016,10060.00,6.58,6.58,0.00,3.53,0.32,2.73,0.00,44.00,8.00,203.00,574.00,1740.00
1503960366,5/9/2016,12022.00,7.72,7.72,0.00,3.45,0.53,3.74,0.00,46.00,11.00,206.00,835.00,1819.00
1503960366,5/10/2016,12207.00,7.77,7.77,0.00,3.35,1.16,3.26,0.00,46.00,31.00,214.00,746.00,1859.00
1503960366,5/11/2016,12770.00,8.13,8.13,0.00,2.56,1.01,4.55,0.00,36.00,23.00,251.00,669.00,1783.00
1503960366,5/12/2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,0.00
1624580081,4/12/2016,8163,5.309999943,5.309999943,0,0,0,5.309999943,0,0,0,146,1294,1432
1624580081,4/13/2016,7007,4.550000191,4.550000191,0,0,0,4.550000191,0,0,0,148,1292,1411
1624580081,4/14/2016,9107,5.920000076,5.920000076,0,0,0,5.909999847,0.01,0,0,236,1204,1572
1624580081,4/15/2016,1510,0.980000019,0.980000019,0,0,0,0.970000029,0,0,0,96,1344,1344
1624580081,4/16/2016,5370,3.49000001,3.49000001,0,0,0,3.49000001,0,0,0,176,1264,1463
1624580081,4/17/2016,6175,4.059999943,4.059999943,0,1.029999971,1.519999981,1.49000001,0.01,15,22,127,1276,1554
1624580081,4/18/2016,10536,7.409999847,7.409999847,0,2.150000095,0.620000005,4.619999886,0.01,17,7,202,1214,1604
1624580081,4/19/2016,2916,1.899999976,1.899999976,0,0,0,1.899999976,0,0,0,141,1299,1435
1624580081,4/20/2016,4974,3.230000019,3.230000019,0,0,0,3.230000019,0,0,0,151,1289,1446
1624580081,4/21/2016,6349,4.130000114,4.130000114,0,0,0,4.110000134,0.02,0,0,186,1254,1467
1624580081,4/22/2016,4026,2.619999886,2.619999886,0,0,0,2.599999905,0,0,0,199,1241,1470
1624580081,4/23/2016,8538,5.550000191,5.550000191,0,0,0,5.539999962,0.01,0,0,227,1213,1562
1624580081,4/24/2016,6076,3.950000048,3.950000048,0,1.149999976,0.910000026,1.889999986,0,16,18,185,1221,1617
